RegistroANS,CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
000515,,,3T,2025,2036279308
000582,,,3T,2025,484735597302
000701,,,3T,2025,287929096415
000884,,,3T,2025,25115231962
005711,,,3T,2025,2985685197389
006246,,,3T,2025,1991948359998
300136,,,3T,2025,10687478415
300713,,,3T,2025,14012276585
300730,,,3T,2025,268041114
301060,,,3T,2025,7246846049
301124,,,3T,2025,4471430475
301574,,,3T,2025,24082890869
301728,,,3T,2025,5919290944
301744,,,3T,2025,8130000790
301949,,,3T,2025,67179865413
302147,,,3T,2025,444349852948
302228,,,3T,2025,1825524757
302627,,,3T,2025,3446188755
302953,,,3T,2025,52873416940
303178,,,3T,2025,6488067944
303267,,,3T,2025,28694088377
303356,,,3T,2025,60117348665
303623,,,3T,2025,59312800799
303739,,,3T,2025,8910808079
303844,,,3T,2025,5715313808
303976,,,3T,2025,82089201968
304051,,,3T,2025,11366067725
304123,,,3T,2025,4969781708
304131,,,3T,2025,2364731801
304212,,,3T,2025,1344767044
304344,,,3T,2025,7969994363
304395,,,3T,2025,9758248417
304441,,,3T,2025,1347041094
304468,,,3T,2025,11215710876
304484,,,3T,2025,4758424667
304531,,,3T,2025,737998228
304701,,,3T,2025,271504643194
304883,,,3T,2025,20112347043
305227,,,3T,2025,9980427904
305421,,,3T,2025,267330216
305472,,,3T,2025,8174418316
305626,,,3T,2025,2508205922
305928,,,3T,2025,211792717
306045,,,3T,2025,648531777
306100,,,3T,2025,14912284595
306126,,,3T,2025,16746725776
306398,,,3T,2025,55813406629
306754,,,3T,2025,710524976
306762,,,3T,2025,17868950351
306886,,,3T,2025,58727920476
307319,,,3T,2025,24430146135
307751,,,3T,2025,9929470888
308811,,,3T,2025,3557138101
309028,,,3T,2025,911549375
309087,,,3T,2025,8806937039
309222,,,3T,2025,98234892586
309524,,,3T,2025,2007977183
309907,,,3T,2025,17630111125
310239,,,3T,2025,1855717300
310247,,,3T,2025,20343007698
310522,,,3T,2025,18327154413
310981,,,3T,2025,1130007112
311057,,,3T,2025,2527820226
311146,,,3T,2025,5208776696
311294,,,3T,2025,13831905218
311359,,,3T,2025,8993395747
311375,,,3T,2025,20790284787
311391,,,3T,2025,906054774
311472,,,3T,2025,1019386357
311618,,,3T,2025,12018439981
311715,,,3T,2025,13391684401
311847,,,3T,2025,33700107729
311944,,,3T,2025,2410927337
311961,,,3T,2025,9613795488
312126,,,3T,2025,150834809510
312282,,,3T,2025,2015656406
312347,,,3T,2025,18949535649
312363,,,3T,2025,435086960832
312592,,,3T,2025,11578367704
312720,,,3T,2025,85333855941
312851,,,3T,2025,89912679007
313084,,,3T,2025,6257307145
313149,,,3T,2025,535229944
313211,,,3T,2025,13316503639
313475,,,3T,2025,1069308862
313751,,,3T,2025,2546916519
313971,,,3T,2025,4532409539
314099,,,3T,2025,22570909813
314218,,,3T,2025,52431430771
314242,,,3T,2025,4071153611
314251,,,3T,2025,5831055285
314315,,,3T,2025,1133496971
314366,,,3T,2025,282054187
314587,,,3T,2025,3742075777
314668,,,3T,2025,12139481326
