DATA,REG_ANS,CD_CONTA_CONTABIL,DESCRICAO,VL_SALDO_INICIAL,VL_SALDO_FINAL,ano,trimestre
2025-07-01,347507,411111111,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,264130.6,422119.73,2025,3T
2025-07-01,347507,411111121,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,3472106.05,5517746.24,2025,3T
2025-07-01,347507,411111141,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,4264173.53,7026675.93,2025,3T
2025-07-01,347507,411111151,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,87158.91,123994.56,2025,3T
2025-07-01,347507,411111161,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,6504912.03,10509810.98,2025,3T
2025-07-01,347507,411111211,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,876804.8,1372440.34,2025,3T
2025-07-01,347507,411111221,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,7827296.79,12760235.75,2025,3T
2025-07-01,347507,411111241,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,6946398.49,12390732.03,2025,3T
2025-07-01,347507,411111251,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,53150.89,73994.09,2025,3T
2025-07-01,347507,411111261,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,11036783.72,19702285.68,2025,3T
2025-07-01,347507,411111711,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,752829.98,1059288.34,2025,3T
2025-07-01,347507,411111721,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,12881572.75,19865308.51,2025,3T
2025-07-01,347507,411111741,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,11847166.71,18661603.84,2025,3T
2025-07-01,347507,411111751,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,95611.57,111884.4,2025,3T
2025-07-01,347507,411111761,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,19746246.56,30807001.27,2025,3T
2025-07-01,347507,411112141,Despesas com Eventos / Sinistros,256.2,256.2,2025,3T
2025-07-01,347507,411112181,Despesas com Eventos / Sinistros,5471460.92,7228973.85,2025,3T
2025-07-01,347507,411112281,Despesas com Eventos / Sinistros,7027542.01,10472133.92,2025,3T
2025-07-01,347507,411112781,Despesas com Eventos / Sinistros,8837344.86,13290129.96,2025,3T
2025-07-01,347507,411312281,Despesas com Eventos / Sinistros,2069.41,2069.41,2025,3T
2025-07-01,347507,411312781,Despesas com Eventos / Sinistros,30086.29,40556.64,2025,3T
2025-07-01,347507,411411111,Despesas com Eventos / Sinistros,8930.64,11847.0,2025,3T
2025-07-01,347507,411411121,Despesas com Eventos / Sinistros,427513.63,622555.32,2025,3T
2025-07-01,347507,411411141,Despesas com Eventos / Sinistros,585407.1,1062373.11,2025,3T
2025-07-01,347507,411411151,Despesas com Eventos / Sinistros,61991.5,94573.45,2025,3T
2025-07-01,347507,411411161,Despesas com Eventos / Sinistros,557529.32,798936.35,2025,3T
2025-07-01,347507,411412281,Despesas com Eventos / Sinistros,241222.77,360961.53,2025,3T
2025-07-01,347507,411412781,Despesas com Eventos / Sinistros,100467.48,111338.38,2025,3T
2025-07-01,347736,411111111,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,31904.89,48408.81,2025,3T
2025-07-01,347736,411111121,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,718322.88,1084270.55,2025,3T
2025-07-01,347736,411111131,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,115238.93,156929.54,2025,3T
2025-07-01,347736,411111137,Despesas com Eventos/Sinistros - Judicial,6156.57,6156.57,2025,3T
2025-07-01,347736,411111141,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,596471.42,939322.94,2025,3T
